temp,rep,date,exp_day,count,dilution
20,E,7/26/2024,2,8,none
23.5,A,7/26/2024,2,8,none
23.5,B,7/26/2024,2,22,none
23.5,C,7/26/2024,2,13,none
23.5,D,7/26/2024,2,14,none
23.5,E,7/26/2024,2,8,none
27,A,7/26/2024,2,13,none
27,B,7/26/2024,2,28,none
27,C,7/26/2024,2,16,none
27,D,7/26/2024,2,9,none
27,E,7/26/2024,2,11,none
30.5,A,7/26/2024,2,8,none
30.5,B,7/26/2024,2,3,none
30.5,C,7/26/2024,2,4,none
30.5,D,7/26/2024,2,7,none
30.5,E,7/26/2024,2,6,none
34,A,7/26/2024,2,9,none
34,B,7/26/2024,2,11,none
34,C,7/26/2024,2,12,none
34,D,7/26/2024,2,10,none
34,E,7/26/2024,2,7,none
VB23,A,7/26/2024,2,5,none
VB23,B,7/26/2024,2,6,none
VB23,C,7/26/2024,2,11,none
VB23,D,7/26/2024,2,6,none
VB23,E,7/26/2024,2,12,none
VM20,A,7/26/2024,2,13,none
VM20,B,7/26/2024,2,13,none
VM20,C,7/26/2024,2,10,none
VM20,D,7/26/2024,2,12,none
VM20,E,7/26/2024,2,13,none
VM23,A,7/26/2024,2,9,none
VM23,B,7/26/2024,2,11,none
VM23,C,7/26/2024,2,9,none
VM23,D,7/26/2024,2,11,none
VM23,E,7/26/2024,2,12,none
VM27,A,7/26/2024,2,16,none
VM27,B,7/26/2024,2,15,none
VM27,C,7/26/2024,2,17,none
VM27,D,7/26/2024,2,17,none
VM27,E,7/26/2024,2,8,none
VS20,A,7/26/2024,2,12,none
VS20,B,7/26/2024,2,16,none
VS20,C,7/26/2024,2,10,none
VS20,D,7/26/2024,2,9,none
VS20,E,7/26/2024,2,10,none
VS23,A,7/26/2024,2,14,none
VS23,B,7/26/2024,2,15,none
VS23,C,7/26/2024,2,17,none
VS23,D,7/26/2024,2,19,none
VS23,E,7/26/2024,2,23,none
VS27,A,7/26/2024,2,21,none
VS27,B,7/26/2024,2,20,none
VS27,C,7/26/2024,2,13,none
VS27,D,7/26/2024,2,20,none
VS27,E,7/26/2024,2,17,none
13,A,7/29/2024,5,30,none
13,B,7/29/2024,5,10,none
13,C,7/29/2024,5,17,none
13,D,7/29/2024,5,20,none
13,E,7/29/2024,5,26,none
16.5,A,7/29/2024,5,38,none
16.5,B,7/29/2024,5,23,none
16.5,C,7/29/2024,5,23,none
16.5,D,7/29/2024,5,22,none
16.5,E,7/29/2024,5,19,none
20,A,7/29/2024,5,51,none
20,B,7/29/2024,5,35,none
20,C,7/29/2024,5,29,none
20,D,7/29/2024,5,22,none
20,E,7/29/2024,5,44,none
23.5,A,7/29/2024,5,88,none
23.5,B,7/29/2024,5,63,none
23.5,C,7/29/2024,5,58,none
23.5,D,7/29/2024,5,49,none
23.5,E,7/29/2024,5,43,none
27,A,7/29/2024,5,66,none
27,B,7/29/2024,5,54,none
27,C,7/29/2024,5,81,none
27,D,7/29/2024,5,48,none
27,E,7/29/2024,5,57,none
30.5,A,7/29/2024,5,44,none
30.5,B,7/29/2024,5,35,none
30.5,C,7/29/2024,5,31,none
30.5,D,7/29/2024,5,30,none
30.5,E,7/29/2024,5,28,none
34,A,7/29/2024,5,20,none
34,B,7/29/2024,5,29,none
34,C,7/29/2024,5,32,none
34,D,7/29/2024,5,31,none
34,E,7/29/2024,5,38,none
VB23,A,7/29/2024,5,19,none
VB23,B,7/29/2024,5,18,none
VB23,C,7/29/2024,5,43,none
VB23,D,7/29/2024,5,44,none
VB23,E,7/29/2024,5,36,none
VM20,A,7/29/2024,5,46,none
VM20,B,7/29/2024,5,57,none
VM20,C,7/29/2024,5,45,none
VM20,D,7/29/2024,5,39,none
VM20,E,7/29/2024,5,46,none
VM23,A,7/29/2024,5,44,none
VM23,B,7/29/2024,5,29,none
VM23,C,7/29/2024,5,41,none
VM23,D,7/29/2024,5,53,none
VM23,E,7/29/2024,5,38,none
VM27,A,7/29/2024,5,48,none
VM27,B,7/29/2024,5,50,none
VM27,C,7/29/2024,5,53,none
VM27,D,7/29/2024,5,51,none
VM27,E,7/29/2024,5,29,none
VS20,A,7/29/2024,5,47,none
VS20,B,7/29/2024,5,52,none
VS20,C,7/29/2024,5,48,none
VS20,D,7/29/2024,5,37,none
VS20,E,7/29/2024,5,53,none
VS23,A,7/29/2024,5,52,none
VS23,B,7/29/2024,5,62,none
VS23,C,7/29/2024,5,76,none
VS23,D,7/29/2024,5,41,none
VS23,E,7/29/2024,5,70,none
VS27,A,7/29/2024,5,39,none
VS27,B,7/29/2024,5,49,none
VS27,C,7/29/2024,5,22,none
VS27,D,7/29/2024,5,49,none
VS27,E,7/29/2024,5,63,none
13,A,7/31/2024,7,55,none
13,B,7/31/2024,7,27,none
13,C,7/31/2024,7,38,none
13,D,7/31/2024,7,25,none
13,E,7/31/2024,7,30,none
16.5,A,7/31/2024,7,26,none
16.5,B,7/31/2024,7,31,none
16.5,C,7/31/2024,7,25,none
16.5,D,7/31/2024,7,28,none
16.5,E,7/31/2024,7,30,none
20,A,7/31/2024,7,69,none
20,B,7/31/2024,7,27,none
20,C,7/31/2024,7,35,none
20,D,7/31/2024,7,41,none
20,E,7/31/2024,7,46,none
23.5,A,7/31/2024,7,80,none
23.5,B,7/31/2024,7,78,none
23.5,C,7/31/2024,7,81,none
23.5,D,7/31/2024,7,74,none
23.5,E,7/31/2024,7,67,none
27,A,7/31/2024,7,87,none
27,B,7/31/2024,7,63,none
27,C,7/31/2024,7,77,none
27,D,7/31/2024,7,30,none
27,E,7/31/2024,7,73,none
30.5,A,7/31/2024,7,47,none
30.5,B,7/31/2024,7,59,none
30.5,C,7/31/2024,7,20,none
30.5,D,7/31/2024,7,30,none
30.5,E,7/31/2024,7,55,none
34,A,7/31/2024,7,23,none
34,B,7/31/2024,7,34,none
34,C,7/31/2024,7,42,none
34,D,7/31/2024,7,49,none
34,E,7/31/2024,7,45,none
VB23,A,7/31/2024,7,22,none
VB23,B,7/31/2024,7,38,none
VB23,C,7/31/2024,7,20,none
VB23,D,7/31/2024,7,33,none
VB23,E,7/31/2024,7,51,none
VM20,A,7/31/2024,7,37,none
VM20,B,7/31/2024,7,37,none
VM20,C,7/31/2024,7,49,none
VM20,D,7/31/2024,7,40,none
VM20,E,7/31/2024,7,46,none
VM23,A,7/31/2024,7,77,none
VM23,B,7/31/2024,7,52,none
VM23,C,7/31/2024,7,58,none
VM23,D,7/31/2024,7,51,none
VM23,E,7/31/2024,7,52,none
VM27,A,7/31/2024,7,62,none
VM27,B,7/31/2024,7,44,none
VM27,C,7/31/2024,7,55,none
VM27,D,7/31/2024,7,56,none
VM27,E,7/31/2024,7,46,none
VS20,A,7/31/2024,7,68,none
VS20,B,7/31/2024,7,68,none
VS20,C,7/31/2024,7,51,none
VS20,D,7/31/2024,7,57,none
VS20,E,7/31/2024,7,53,none
VS23,A,7/31/2024,7,73,none
VS23,B,7/31/2024,7,89,none
VS23,C,7/31/2024,7,75,none
VS23,D,7/31/2024,7,64,none
VS23,E,7/31/2024,7,89,none
VS27,A,7/31/2024,7,46,none
VS27,B,7/31/2024,7,32,none
VS27,C,7/31/2024,7,45,none
VS27,D,7/31/2024,7,55,none
VS27,E,7/31/2024,7,52,none
13,A,8/5/2024,12,107,none
13,B,8/5/2024,12,101,none
13,C,8/5/2024,12,101,none
13,D,8/5/2024,12,92,none
13,E,8/5/2024,12,107,none
16.5,A,8/5/2024,12,111,none
16.5,B,8/5/2024,12,93,none
16.5,C,8/5/2024,12,69,none
16.5,D,8/5/2024,12,86,none
16.5,E,8/5/2024,12,97,none
20,A,8/5/2024,12,69,none
20,B,8/5/2024,12,67,none
20,C,8/5/2024,12,72,none
20,D,8/5/2024,12,74,none
20,E,8/5/2024,12,119,none
23.5,A,8/5/2024,12,301,none
23.5,B,8/5/2024,12,192,none
23.5,C,8/5/2024,12,208,none
23.5,D,8/5/2024,12,199,none
23.5,E,8/5/2024,12,144,none
27,A,8/5/2024,12,207,none
27,B,8/5/2024,12,222,none
27,C,8/5/2024,12,201,none
27,D,8/5/2024,12,171,none
27,E,8/5/2024,12,161,none
30.5,A,8/5/2024,12,190,none
30.5,B,8/5/2024,12,177,none
30.5,C,8/5/2024,12,118,none
30.5,D,8/5/2024,12,130,none
30.5,E,8/5/2024,12,92,none
34,A,8/5/2024,12,81,none
34,B,8/5/2024,12,100,none
34,C,8/5/2024,12,94,none
34,D,8/5/2024,12,123,none
34,E,8/5/2024,12,76,none
VB23,A,8/5/2024,12,59,none
VB23,B,8/5/2024,12,84,none
VB23,C,8/5/2024,12,98,none
VB23,D,8/5/2024,12,63,none
VB23,E,8/5/2024,12,82,none
VM20,A,8/5/2024,12,97,none
VM20,B,8/5/2024,12,140,none
VM20,C,8/5/2024,12,86,none
VM20,D,8/5/2024,12,107,none
VM20,E,8/5/2024,12,148,none
VM23,A,8/5/2024,12,162,none
VM23,B,8/5/2024,12,129,none
VM23,C,8/5/2024,12,119,none
VM23,D,8/5/2024,12,96,none
VM23,E,8/5/2024,12,88,none
VM27,A,8/5/2024,12,143,none
VM27,B,8/5/2024,12,149,none
VM27,C,8/5/2024,12,143,none
VM27,D,8/5/2024,12,127,none
VM27,E,8/5/2024,12,155,none
VS20,A,8/5/2024,12,161,none
VS20,B,8/5/2024,12,171,none
VS20,C,8/5/2024,12,116,none
VS20,D,8/5/2024,12,117,none
VS20,E,8/5/2024,12,148,none
VS23,A,8/5/2024,12,159,none
VS23,B,8/5/2024,12,177,none
VS23,C,8/5/2024,12,219,none
VS23,D,8/5/2024,12,186,none
VS23,E,8/5/2024,12,235,none
VS27,A,8/5/2024,12,183,none
VS27,B,8/5/2024,12,175,none
VS27,C,8/5/2024,12,150,none
VS27,D,8/5/2024,12,144,none
VS27,E,8/5/2024,12,142,none
13,A,8/7/2024,14,109,none
13,B,8/7/2024,14,99,none
13,C,8/7/2024,14,152,none
13,D,8/7/2024,14,230,none
13,E,8/7/2024,14,146,none
16.5,A,8/7/2024,14,101,none
16.5,B,8/7/2024,14,111,none
16.5,C,8/7/2024,14,119,none
16.5,D,8/7/2024,14,NA,none
16.5,E,8/7/2024,14,NA,none
20,A,8/7/2024,14,109,none
20,B,8/7/2024,14,86,none
20,C,8/7/2024,14,101,none
20,D,8/7/2024,14,NA,none
20,E,8/7/2024,14,NA,none
23.5,A,8/7/2024,14,479,none
23.5,B,8/7/2024,14,30,10
23.5,C,8/7/2024,14,19,10
23.5,D,8/7/2024,14,NA,none
23.5,E,8/7/2024,14,NA,none
27,A,8/7/2024,14,261,none
27,B,8/7/2024,14,19,10
27,C,8/7/2024,14,25,10
27,D,8/7/2024,14,NA,none
27,E,8/7/2024,14,NA,none
30.5,A,8/7/2024,14,169,none
30.5,B,8/7/2024,14,26,10
30.5,C,8/7/2024,14,19,10
30.5,D,8/7/2024,14,NA,none
30.5,E,8/7/2024,14,NA,none
34,A,8/7/2024,14,114,none
34,B,8/7/2024,14,116,none
34,C,8/7/2024,14,100,none
34,D,8/7/2024,14,NA,none
34,E,8/7/2024,14,NA,none
VB23,A,8/7/2024,14,126,none
VB23,B,8/7/2024,14,108,none
VB23,C,8/7/2024,14,124,none
VB23,D,8/7/2024,14,NA,none
VB23,E,8/7/2024,14,NA,none
VM20,A,8/7/2024,14,160,none
VM20,B,8/7/2024,14,147,none
VM20,C,8/7/2024,14,111,none
VM20,D,8/7/2024,14,NA,none
VM20,E,8/7/2024,14,NA,none
VM23,A,8/7/2024,14,173,none
VM23,B,8/7/2024,14,106,none
VM23,C,8/7/2024,14,114,none
VM23,D,8/7/2024,14,NA,none
VM23,E,8/7/2024,14,NA,none
VM27,A,8/7/2024,14,183,none
VM27,B,8/7/2024,14,13,10
VM27,C,8/7/2024,14,23,10
VM27,D,8/7/2024,14,NA,none
VM27,E,8/7/2024,14,NA,none
VS20,A,8/7/2024,14,247,none
VS20,B,8/7/2024,14,16,10
VS20,C,8/7/2024,14,12,10
VS20,D,8/7/2024,14,NA,none
VS20,E,8/7/2024,14,NA,none
VS23,A,8/7/2024,14,144,none
VS23,B,8/7/2024,14,253,none
VS23,C,8/7/2024,14,279,none
VS23,D,8/7/2024,14,NA,none
VS23,E,8/7/2024,14,NA,none
VS27,A,8/7/2024,14,214,none
VS27,B,8/7/2024,14,28,10
VS27,C,8/7/2024,14,16,10
VS27,D,8/7/2024,14,NA,none
VS27,E,8/7/2024,14,NA,none
13,A,8/9/2024,16,169,none
13,B,8/9/2024,16,133,none
13,C,8/9/2024,16,168,none
13,D,8/9/2024,16,167,none
13,E,8/9/2024,16,158,none
16.5,A,8/9/2024,16,115,none
16.5,B,8/9/2024,16,138,none
16.5,C,8/9/2024,16,120,none
16.5,D,8/9/2024,16,128,none
16.5,E,8/9/2024,16,122,none
20,A,8/9/2024,16,132,none
20,B,8/9/2024,16,135,none
20,C,8/9/2024,16,118,none
20,D,8/9/2024,16,121,none
20,E,8/9/2024,16,163,none
23.5,A,8/9/2024,16,53,10
23.5,B,8/9/2024,16,46,10
23.5,C,8/9/2024,16,32,10
23.5,D,8/9/2024,16,30,10
23.5,E,8/9/2024,16,34,10
27,A,8/9/2024,16,38,10
27,B,8/9/2024,16,40,10
27,C,8/9/2024,16,37,10
27,D,8/9/2024,16,26,10
27,E,8/9/2024,16,38,10
30.5,A,8/9/2024,16,18,10
30.5,B,8/9/2024,16,33,10
30.5,C,8/9/2024,16,18,10
30.5,D,8/9/2024,16,18,10
30.5,E,8/9/2024,16,14,10
34,A,8/9/2024,16,130,none
34,B,8/9/2024,16,134,none
34,C,8/9/2024,16,127,none
34,D,8/9/2024,16,127,none
34,E,8/9/2024,16,128,none
VB23,A,8/9/2024,16,158,none
VB23,B,8/9/2024,16,143,none
VB23,C,8/9/2024,16,141,none
VB23,D,8/9/2024,16,99,none
VB23,E,8/9/2024,16,161,none
VM20,A,8/9/2024,16,195,none
VM20,B,8/9/2024,16,16,10
VM20,C,8/9/2024,16,11,10
VM20,D,8/9/2024,16,18,10
VM20,E,8/9/2024,16,18,10
VM23,A,8/9/2024,16,257,none
VM23,B,8/9/2024,16,22,10
VM23,C,8/9/2024,16,16,10
VM23,D,8/9/2024,16,14,10
VM23,E,8/9/2024,16,24,10
VM27,A,8/9/2024,16,24,10
VM27,B,8/9/2024,16,16,10
VM27,C,8/9/2024,16,16,10
VM27,D,8/9/2024,16,15,10
VM27,E,8/9/2024,16,11,10
VS20,A,8/9/2024,16,27,10
VS20,B,8/9/2024,16,12,10
VS20,C,8/9/2024,16,24,10
VS20,D,8/9/2024,16,19,10
VS20,E,8/9/2024,16,11,10
VS23,A,8/9/2024,16,148,none
VS23,B,8/9/2024,16,304,none
VS23,C,8/9/2024,16,346,none
VS23,D,8/9/2024,16,31,10
VS23,E,8/9/2024,16,40,10
VS27,A,8/9/2024,16,35,10
VS27,B,8/9/2024,16,25,10
VS27,C,8/9/2024,16,28,10
VS27,D,8/9/2024,16,18,10
VS27,E,8/9/2024,16,23,10
13,A,8/12/2024,19,190,none
13,B,8/12/2024,19,19,10
13,C,8/12/2024,19,21,10
13,D,8/12/2024,19,12,10
13,E,8/12/2024,19,15,10
16.5,A,8/12/2024,19,16,10
16.5,B,8/12/2024,19,30,10
16.5,C,8/12/2024,19,13,10
16.5,D,8/12/2024,19,19,10
16.5,E,8/12/2024,19,13,10
20,A,8/12/2024,19,30,10
20,B,8/12/2024,19,23,10
20,C,8/12/2024,19,32,10
20,D,8/12/2024,19,22,10
20,E,8/12/2024,19,25,10
23.5,A,8/12/2024,19,74,10
23.5,B,8/12/2024,19,64,10
23.5,C,8/12/2024,19,56,10
23.5,D,8/12/2024,19,70,10
23.5,E,8/12/2024,19,68,10
27,A,8/12/2024,19,47,10
27,B,8/12/2024,19,90,10
27,C,8/12/2024,19,46,10
27,D,8/12/2024,19,53,10
27,E,8/12/2024,19,37,10
30.5,A,8/12/2024,19,46,10
30.5,B,8/12/2024,19,56,10
30.5,C,8/12/2024,19,29,10
30.5,D,8/12/2024,19,23,10
30.5,E,8/12/2024,19,33,10
34,A,8/12/2024,19,29,10
34,B,8/12/2024,19,33,10
34,C,8/12/2024,19,25,10
34,D,8/12/2024,19,32,10
34,E,8/12/2024,19,23,10
VB23,A,8/12/2024,19,273,none
VB23,B,8/12/2024,19,26,10
VB23,C,8/12/2024,19,15,10
VB23,D,8/12/2024,19,25,10
VB23,E,8/12/2024,19,30,10
VM20,A,8/12/2024,19,36,10
VM20,B,8/12/2024,19,24,10
VM20,C,8/12/2024,19,25,10
VM20,D,8/12/2024,19,29,10
VM20,E,8/12/2024,19,27,10
VM23,A,8/12/2024,19,42,10
VM23,B,8/12/2024,19,36,10
VM23,C,8/12/2024,19,27,10
VM23,D,8/12/2024,19,27,10
VM23,E,8/12/2024,19,17,10
VM27,A,8/12/2024,19,39,10
VM27,B,8/12/2024,19,25,10
VM27,C,8/12/2024,19,29,10
VM27,D,8/12/2024,19,38,10
VM27,E,8/12/2024,19,37,10
VS20,A,8/12/2024,19,40,10
VS20,B,8/12/2024,19,26,10
VS20,C,8/12/2024,19,42,10
VS20,D,8/12/2024,19,27,10
VS20,E,8/12/2024,19,26,10
VS23,A,8/12/2024,19,36,10
VS23,B,8/12/2024,19,58,10
VS23,C,8/12/2024,19,57,10
VS23,D,8/12/2024,19,51,10
VS23,E,8/12/2024,19,34,10
VS27,A,8/12/2024,19,53,10
VS27,B,8/12/2024,19,35,10
VS27,C,8/12/2024,19,43,10
VS27,D,8/12/2024,19,31,10
VS27,E,8/12/2024,19,43,10
